¬ыплаты;—егмент;ƒата оплаты
57023,96;ядерные риски;17.10.2019
42387,59;ядерные риски;31.01.2021
25134,8;ядерные риски;06.12.2021
15141,2;ядерные риски;28.05.2020
310413,3;ядерные риски;06.03.2022
68060,01;ядерные риски;13.08.2019
6267,54;ядерные риски;24.08.2020
23176,62;ядерные риски;01.10.2021
320612,26;ядерные риски;28.09.2021
1412,05;ядерные риски;22.10.2017
41010,25;ядерные риски;01.12.2022
344280,15;ядерные риски;17.04.2017
30843,04;ядерные риски;17.09.2021
85443,55;ядерные риски;13.12.2019
215736,93;ядерные риски;15.05.2017
238780,6;ядерные риски;24.07.2019
7631,83;ядерные риски;26.12.2018
319958,46;ядерные риски;30.11.2020
202545,39;ядерные риски;01.12.2017
25134,8;ядерные риски;20.07.2018
6221,37;ядерные риски;08.03.2019
41979,98;ядерные риски;10.06.2017
20989,98;ядерные риски;03.06.2018
1486493,98;ядерные риски;24.01.2022
1048845,76;ядерные риски;11.07.2017
31699,98;ядерные риски;25.11.2019
32596,07;ядерные риски;25.07.2018
23676,98;ядерные риски;14.10.2020
13660,76;ядерные риски;15.09.2020
44071,36;ядерные риски;13.11.2020
20228,49;ядерные риски;24.07.2021
32675,24;ядерные риски;28.08.2018
15443,41;ядерные риски;28.02.2021
34963,76;ядерные риски;05.01.2017
54317,56;ядерные риски;23.05.2021
-54317,56;ядерные риски;23.06.2022
54317,56;ядерные риски;28.03.2021
1764246,61;ядерные риски;29.02.2020
79306,58;ядерные риски;27.05.2022
79513,12;ядерные риски;24.04.2020
139984,5;ядерные риски;04.04.2017
80461,52;ядерные риски;10.09.2017
59044,36;ядерные риски;17.06.2018
34100,4;ядерные риски;17.05.2020
78027,22;ядерные риски;09.07.2021
57201,78;ядерные риски;19.01.2017
37394,3;ядерные риски;21.04.2021
66699,84;ядерные риски;29.05.2021
45871,01;ядерные риски;24.05.2020
150808,8;ядерные риски;22.11.2018
40900,6;ядерные риски;09.04.2018
90711,49;ядерные риски;15.04.2022
72845,68;ядерные риски;12.04.2022
74147,69;ядерные риски;03.12.2018
70106,83;ядерные риски;10.03.2019
19456,28;ядерные риски;25.03.2019
31687,58;ядерные риски;16.11.2022
44639,4;ядерные риски;19.07.2018
689,02;ядерные риски;31.05.2019
26503,39;ядерные риски;17.08.2022
4203,8;ядерные риски;16.03.2022
28887;ядерные риски;11.09.2017
26221,54;ядерные риски;05.03.2017
16205,44;ядерные риски;10.04.2020
29396,39;ядерные риски;23.11.2021
123438,05;ядерные риски;25.04.2017
36248,93;ядерные риски;19.02.2022
23557,5;ядерные риски;21.08.2021
179297,84;ядерные риски;07.12.2018
2674,34;ядерные риски;14.06.2018
138515,04;ядерные риски;03.11.2021
113292,38;ядерные риски;26.02.2018
120647,04;ядерные риски;02.02.2019
125674;ядерные риски;01.02.2017
21168,49;ядерные риски;21.01.2017
66889,8;ядерные риски;02.01.2017
30571,22;ядерные риски;29.10.2018
8797,18;ядерные риски;14.03.2019
20394,38;ядерные риски;16.05.2020
166270,47;ядерные риски;25.05.2019
7356,96;ядерные риски;15.05.2022
13148,01;ядерные риски;05.11.2017
1845879,6;ядерные риски;28.10.2018
1350856,63;ядерные риски;16.04.2017
1341187,9;ядерные риски;19.02.2020
41472,42;ядерные риски;27.03.2017
12361,65;ядерные риски;17.10.2022
41472,42;ядерные риски;13.03.2020
60961,94;ядерные риски;27.04.2017
19678,35;ядерные риски;09.08.2017
2633,67;ядерные риски;31.07.2019
4882,43;ядерные риски;04.11.2019
112165,3;ядерные риски;25.04.2017
199417,83;ядерные риски;02.09.2022
31418,5;ядерные риски;10.02.2021
31418,5;ядерные риски;16.05.2020
31418,5;ядерные риски;09.06.2020
31418,5;ядерные риски;14.10.2017
23563,88;ядерные риски;29.01.2019
23563,88;ядерные риски;04.08.2019
23563,88;ядерные риски;21.07.2021
23563,88;ядерные риски;06.11.2022
14204,1;ядерные риски;11.11.2019
48761,51;ядерные риски;01.12.2018
4413,37;ядерные риски;02.11.2017
32059,94;ядерные риски;29.03.2018
35643,06;ядерные риски;11.04.2020
7652,7;ядерные риски;04.09.2017
32675,24;ядерные риски;19.04.2019
140401,48;ядерные риски;08.03.2021
828654,39;ядерные риски;12.06.2017
