;Итерация;Лейер;Выплаты;Доля_в_выплатах;Восст_прем
336;85;0;3325973,4199999995;0,0;0,0
337;85;1;8420937,99;1600000,0;140280,0
338;85;2;1508088,0;8088,0;143,97
339;85;3;0,0;0,0;0,0
340;86;0;4556424,93;0,0;0,0
341;86;1;6581556,989999999;1600000,0;140280,0
342;86;2;502696,0;2696,0;47,99
343;86;3;0,0;0,0;0,0
344;87;0;3859287,4199999995;0,0;0,0
345;87;1;7292095,250000001;1600000,0;140280,0
346;87;2;2513480,0;13480,0;239,94
347;87;3;0,0;0,0;0,0
348;88;0;3661741,1799999997;0,0;0,0
349;88;1;10920120,380000003;1600000,0;140280,0
350;88;2;2513480,0;13480,0;239,94
351;88;3;0,0;0,0;0,0
352;89;0;4545459,89;0,0;0,0
353;89;1;8749132,969999999;1600000,0;140280,0
354;89;2;2010784,0;10784,0;191,96
355;89;3;0,0;0,0;0,0
356;90;0;5155665,779999999;0,0;0,0
357;90;1;8132531,31;1600000,0;140280,0
358;90;2;3141850,0;141850,0;2524,93
359;90;3;0,0;0,0;0,0
360;91;0;4231591,83;0,0;0,0
361;91;1;7847824,609999999;1600000,0;140280,0
362;91;2;1602343,5;102343,5;1821,71
363;91;3;0,0;0,0;0,0
364;92;0;3689483,88;0,0;0,0
365;92;1;8545690,61;1600000,0;140280,0
366;92;2;1508088,0;8088,0;143,97
367;92;3;0,0;0,0;0,0
368;93;0;3370084,0599999996;0,0;0,0
369;93;1;7927215,8100000005;1600000,0;140280,0
370;93;2;2010784,0;10784,0;191,96
371;93;3;0,0;0,0;0,0
372;94;0;4117958,1799999997;0,0;0,0
373;94;1;8442992,91;1600000,0;140280,0
374;94;2;1005392,0;5392,0;95,98
375;94;3;0,0;0,0;0,0
376;95;0;3787498,04;0,0;0,0
377;95;1;9506862,55;1600000,0;140280,0
378;95;2;1508088,0;8088,0;143,97
379;95;3;0,0;0,0;0,0
380;96;0;4880140,36;0,0;0,0
381;96;1;10925700,139999999;1600000,0;140280,0
382;96;2;3016176,0;16176,0;287,93
383;96;3;0,0;0,0;0,0
384;97;0;4234026,71;0,0;0,0
385;97;1;7252946,110000001;1600000,0;140280,0
386;97;2;1099647,5;99647,5;1773,73
387;97;3;0,0;0,0;0,0
388;98;0;4282079,3100000005;0,0;0,0
389;98;1;8721991,53;1600000,0;140280,0
390;98;2;1508088,0;8088,0;143,97
391;98;3;0,0;0,0;0,0
392;99;0;4404980,669999999;0,0;0,0
393;99;1;6892861,24;1600000,0;140280,0
394;99;2;1005392,0;5392,0;95,98
395;99;3;0,0;0,0;0,0
396;100;0;4967400,119999999;0,0;0,0
397;100;1;8099792,619999999;1600000,0;140280,0
398;100;2;1602343,5;102343,5;1821,71
399;100;3;0,0;0,0;0,0
400;101;0;3943436,13;0,0;0,0
401;101;1;6897747,600000001;1600000,0;140280,0
402;101;2;1625970,21;125970,20999999996;2242,27
403;101;3;0,0;0,0;0,0
404;102;0;4149773,18;0,0;0,0
405;102;1;5389863,31;1600000,0;140280,0
406;102;2;502696,0;2696,0;47,99
407;102;3;0,0;0,0;0,0
408;103;0;4312862,83;0,0;0,0
409;103;1;8302718,909999999;1600000,0;140280,0
410;103;2;0,0;0,0;0,0
411;103;3;0,0;0,0;0,0
412;104;0;4277403,03;0,0;0,0
413;104;1;7447666,790000001;1600000,0;140280,0
414;104;2;596951,5;96951,5;1725,74
415;104;3;0,0;0,0;0,0
416;105;0;4283711,1;0,0;0,0
417;105;1;11032829,929999998;1600000,0;140280,0
418;105;2;3631978,6;131978,59999999998;2349,22
419;105;3;0,0;0,0;0,0
420;106;0;5067004,880000001;0,0;0,0
421;106;1;8838411,290000001;1600000,0;140280,0
422;106;2;2010784,0;10784,0;191,96
423;106;3;0,0;0,0;0,0
424;107;0;3897119,8199999994;0,0;0,0
425;107;1;8268357,030000001;1600000,0;140280,0
426;107;2;1508088,0;8088,0;143,97
427;107;3;0,0;0,0;0,0
428;108;0;4349511,76;0,0;0,0
429;108;1;9288024,720000003;1600000,0;140280,0
430;108;2;502696,0;2696,0;47,99
431;108;3;0,0;0,0;0,0
432;109;0;3679322,25;0,0;0,0
433;109;1;10104337,889999999;1600000,0;140280,0
434;109;2;1099647,5;99647,5;1773,73
435;109;3;0,0;0,0;0,0
436;110;0;4438255,859999999;0,0;0,0
437;110;1;7122018,96;1600000,0;140280,0
438;110;2;1123274,21;123274,20999999996;2194,28
439;110;3;0,0;0,0;0,0
440;111;0;3736449,6700000004;0,0;0,0
441;111;1;8098055,48;1600000,0;140280,0
442;111;2;1005392,0;5392,0;95,98
443;111;3;0,0;0,0;0,0
444;112;0;3766821,07;0,0;0,0
445;112;1;11372175,68;1600000,0;140280,0
446;112;2;1005392,0;5392,0;95,98
447;112;3;0,0;0,0;0,0
448;113;0;3898615,6399999997;0,0;0,0
449;113;1;8834567,3;1600000,0;140280,0
450;113;2;1005392,0;5392,0;95,98
451;113;3;0,0;0,0;0,0
452;114;0;4457219,34;0,0;0,0
453;114;1;8318436,88;1600000,0;140280,0
454;114;2;0,0;0,0;0,0
455;114;3;0,0;0,0;0,0
456;115;0;3807189,3500000006;0,0;0,0
457;115;1;7987815,489999999;1600000,0;140280,0
458;115;2;1005392,0;5392,0;95,98
459;115;3;0,0;0,0;0,0
460;116;0;5041738,91;0,0;0,0
461;116;1;8768742,510000002;1600000,0;140280,0
462;116;2;502696,0;2696,0;47,99
463;116;3;0,0;0,0;0,0
464;117;0;5003823,68;0,0;0,0
465;117;1;5115537,0;1600000,0;140280,0
466;117;2;2105039,5;1105039,5;19669,7
467;117;3;6351582,01;3500000,0;150500,0
468;118;0;4066491,8299999996;0,0;0,0
469;118;1;8895209,7;1600000,0;140280,0
470;118;2;1625970,21;125970,20999999996;2242,27
471;118;3;0,0;0,0;0,0
472;119;0;3893295,810000001;0,0;0,0
473;119;1;7140294,05;1600000,0;140280,0
474;119;2;502696,0;2696,0;47,99
475;119;3;0,0;0,0;0,0
476;120;0;4353736,22;0,0;0,0
477;120;1;7179493,26;1600000,0;140280,0
478;120;2;1005392,0;5392,0;95,98
479;120;3;0,0;0,0;0,0
480;121;0;4959554,210000001;0,0;0,0
481;121;1;5997565,99;1600000,0;140280,0
482;121;2;1508088,0;8088,0;143,97
483;121;3;0,0;0,0;0,0
484;122;0;3895351,1300000004;0,0;0,0
485;122;1;9559801,719999999;1600000,0;140280,0
486;122;2;1508088,0;8088,0;143,97
487;122;3;0,0;0,0;0,0
488;123;0;3728130,3200000003;0,0;0,0
489;123;1;7605151,6;1600000,0;140280,0
490;123;2;2639154,0;139154,0;2476,94
491;123;3;0,0;0,0;0,0
492;124;0;3484686,2399999998;0,0;0,0
493;124;1;8555260,34;1600000,0;140280,0
494;124;2;3298942,5;298942,5;5321,18
495;124;3;0,0;0,0;0,0
496;125;0;4473899,92;0,0;0,0
497;125;1;8134878,3;1600000,0;140280,0
498;125;2;2029635,1;29635,099999999977;527,5
499;125;3;0,0;0,0;0,0
500;126;0;4799636,56;0,0;0,0
501;126;1;9051865,82;1600000,0;140280,0
502;126;2;2513480,0;13480,0;239,94
503;126;3;0,0;0,0;0,0
504;127;0;3022572,41;0,0;0,0
505;127;1;11092360,120000001;1600000,0;140280,0
506;127;2;3016176,0;16176,0;287,93
507;127;3;0,0;0,0;0,0
508;128;0;3613799,0700000003;0,0;0,0
509;128;1;8334654,73;1600000,0;140280,0
510;128;2;3141850,0;141850,0;2524,93
511;128;3;0,0;0,0;0,0
512;129;0;3952079,7300000004;0,0;0,0
513;129;1;9906465,649999999;1600000,0;140280,0
514;129;2;2631362,21;131362,20999999996;2338,25
515;129;3;0,0;0,0;0,0
516;130;0;4637786,960000001;0,0;0,0
517;130;1;6756731,37;1600000,0;140280,0
518;130;2;1508088,0;8088,0;143,97
519;130;3;0,0;0,0;0,0
520;131;0;3489045,729999999;0,0;0,0
521;131;1;8055282,92;1600000,0;140280,0
522;131;2;1005392,0;5392,0;95,98
523;131;3;0,0;0,0;0,0
524;132;0;3631791,46;0,0;0,0
525;132;1;5908147,670000002;1600000,0;140280,0
526;132;2;3016176,0;16176,0;287,93
527;132;3;0,0;0,0;0,0
528;133;0;4819543,959999999;0,0;0,0
529;133;1;8255804,24;1600000,0;140280,0
530;133;2;0,0;0,0;0,0
531;133;3;0,0;0,0;0,0
532;134;0;4021596,5;0,0;0,0
533;134;1;8070921,62;1600000,0;140280,0
534;134;2;1602343,5;102343,5;1821,71
535;134;3;0,0;0,0;0,0
536;135;0;4388228,76;0,0;0,0
537;135;1;8930401,84;1600000,0;140280,0
538;135;2;2105039,5;105039,5;1869,7
539;135;3;0,0;0,0;0,0
540;136;0;5290341,39;0,0;0,0
541;136;1;9741040,9;1600000,0;140280,0
542;136;2;2010784,0;10784,0;191,96
543;136;3;0,0;0,0;0,0
544;137;0;3700707,95;0,0;0,0
545;137;1;7004380,720000001;1600000,0;140280,0
546;137;2;2513480,0;13480,0;239,94
547;137;3;0,0;0,0;0,0
548;138;0;3975190,8299999996;0,0;0,0
549;138;1;6413676,659999999;1600000,0;140280,0
550;138;2;3016176,0;16176,0;287,93
551;138;3;0,0;0,0;0,0
552;139;0;3922223,67;0,0;0,0
553;139;1;8157711,71;1600000,0;140280,0
554;139;2;1005392,0;5392,0;95,98
555;139;3;0,0;0,0;0,0
556;140;0;4814023,000000001;0,0;0,0
557;140;1;7159590,47;1600000,0;140280,0
558;140;2;1508088,0;8088,0;143,97
559;140;3;0,0;0,0;0,0
560;141;0;4495045,79;0,0;0,0
561;141;1;9783561,09;1600000,0;140280,0
562;141;2;1508088,0;8088,0;143,97
563;141;3;0,0;0,0;0,0
564;142;0;3667625,5599999996;0,0;0,0
565;142;1;8669621,670000002;1600000,0;140280,0
566;142;2;2513480,0;13480,0;239,94
567;142;3;0,0;0,0;0,0
568;143;0;4491092,78;0,0;0,0
569;143;1;8019463,250000001;1600000,0;140280,0
570;143;2;1005392,0;5392,0;95,98
571;143;3;0,0;0,0;0,0
572;144;0;3866671,05;0,0;0,0
573;144;1;7564360,99;1600000,0;140280,0
574;144;2;3110431,5;110431,5;1965,68
575;144;3;0,0;0,0;0,0
576;145;0;4439035,6899999995;0,0;0,0
577;145;1;8737231,16;1600000,0;140280,0
578;145;2;1005392,0;5392,0;95,98
579;145;3;0,0;0,0;0,0
580;146;0;5271544,35;0,0;0,0
581;146;1;7547479,340000001;1600000,0;140280,0
582;146;2;2725617,71;225617,70999999996;4016,0
583;146;3;0,0;0,0;0,0
584;147;0;4185009,89;0,0;0,0
585;147;1;8438921,66;1600000,0;140280,0
586;147;2;1005392,0;5392,0;95,98
587;147;3;0,0;0,0;0,0
