Итерация;Выплаты;Доля_в_выплатах;Восст_прем;Премия_Re;Фин_рез;Процент_доли
235;15968672,55;1731362,21;142618,25;4000000,0;2411256,04;0,10842242550712206
236;15370868,61;1836105,5;144482,68;4000000,0;2308377,18;0,11945359410628649
237;11162513,28;1605392,0;140375,98;4000000,0;2534983,98;0,14381994087983743
238;13154031,720000003;1602696,0;140327,99;4000000,0;2537631,99;0,12184066711373262
239;11090269,4;1608088,0;140423,97;4000000,0;2532335,97;0,14499990415020936
240;13469023,19;1613480,0;140519,94;4000000,0;2527039,94;0,11979190897807045
241;14806321,96;1608088,0;140423,97;4000000,0;2532335,97;0,10860820157391742
242;16466349,919999998;1836105,5;144482,68;4000000,0;2308377,18;0,11150652748912311
243;16020676,57;1608088,0;140423,97;4000000,0;2532335,97;0,10037578581489333
244;15114881,96;1702343,5;142101,71;4000000,0;2439758,21;0,11262697945674198
245;9262778,930000002;1600000,0;140280,0;4000000,0;2540280,0;0,17273433945594552
246;13550877,209999999;1605392,0;140375,98;4000000,0;2534983,98;0,1184714446984499
247;12763191,07;1605392,0;140375,98;4000000,0;2534983,98;0,1257829637741214
248;20088196,21;6210431,5;310545,68;4000000,0;-1899885,8200000003;0,3091582457218542
249;15194067,940000001;1608088,0;140423,97;4000000,0;2532335,97;0,10583656768879762
250;14274646,209999997;1602696,0;140327,99;4000000,0;2537631,99;0,11227570732206611
251;14267850,01;1608088,0;140423,97;4000000,0;2532335,97;0,1127071001498424
252;12791233,930000002;1602696,0;140327,99;4000000,0;2537631,99;0,12529643416505007
253;14511141,96;1608088,0;140423,97;4000000,0;2532335,97;0,11081746732494924
254;16574089,059999999;1624264,0;140711,9;4000000,0;2516447,9;0,0980001974238215
255;12379690,51;1610784,0;140471,96;4000000,0;2529687,96;0,13011504598591134
256;14274786,399999999;1822921,71;144248,01;4000000,0;2321326,3;0,12770220575769878
257;13572294,940000001;1602696,0;140327,99;4000000,0;2537631,99;0,11808585114640899
258;13025008,22;1605392,0;140375,98;4000000,0;2534983,98;0,12325458632224955
259;16127407,060000002;1605392,0;140375,98;4000000,0;2534983,98;0,09954433431408656
260;15346115,990000002;1608088,0;140423,97;4000000,0;2532335,97;0,10478794771575292
261;13128642,52;1605392,0;140375,98;4000000,0;2534983,98;0,12228164469817555
262;14239247,260000002;1613480,0;140519,94;4000000,0;2527039,94;0,11331216956478357
263;16518106,669999998;1610784,0;140471,96;4000000,0;2529687,96;0,09751626092386775
264;13470464,39;1605392,0;140375,98;4000000,0;2534983,98;0,11917866775192892
