;0
893;41975,12
894;80934,06
895;83196,19
896;113914,68
897;32674,1
898;24883,45
899;50520,95
900;35565,74
901;38320,37
902;85222,05
903;11184,99
904;22998,34
905;17091,66
906;63088,35
907;125674,0
908;58438,41
909;40605,27
910;400284,26
911;13195,77
912;502696,0
913;30790,13
914;21716,47
915;26391,54
916;292569,07
917;44111,57
918;57558,69
919;10933,64
920;62962,67
921;188762,35
922;79425,97
923;461684,8
924;31732,69
925;172584,33
926;48554,15
927;81059,73
928;43985,9
929;50269,6
930;37702,2
931;125674,0
932;69120,7
933;67738,29
934;66759,37
935;283181,22
936;70126,09
937;25386,15
938;67361,26
939;41723,77
940;101293,24
941;42540,65
942;42540,65
943;5026,96
944;485101,64
945;144525,1
946;57648,88
947;165386,98
948;44739,94
949;62962,67
950;15583,58
951;77792,21
952;181473,26
953;39587,31
954;66940,63
955;31795,52
956;34686,02
957;125674,0
958;29894,01
959;37029,92
960;76032,77
961;46485,91
962;139060,79
963;172173,38
964;271455,84
965;37199,5
966;28905,02
967;27396,93
968;177464,26
969;175943,6
970;173053,1
971;236769,82
972;221326,99
973;187882,63
974;89102,87
975;9676,9
976;66858,57
977;83698,88
978;115557,24
979;230046,26
980;147091,36
981;32423,89
982;596951,5
983;133526,74
984;273969,32
985;50772,3
986;42428,8
987;39712,98
988;40781,21
989;31041,48
990;31429,71
991;74021,99
992;57056,0
993;46625,05
994;13195,77
995;60197,85
996;11562,01
997;157486,99
998;136356,29
999;17217,34
1000;46778,92
1001;16211,95
1002;358170,9
1003;30036,09
1004;81499,59
1005;98528,42
1006;26391,54
1007;131832,03
1008;502696,0
1009;61450,44
1010;116122,78
1011;10807,96
1012;56678,97
1013;152945,26
1014;13195,77
1015;10933,64
1016;32298,22
1017;43985,9
1018;13447,12
1019;52908,75
1020;32172,54
1021;19353,8
1022;19605,14
1023;43734,55
1024;44362,92
1025;61203,24
1026;133482,98
1027;22369,97
1028;129192,87
1029;27271,26
1030;84955,62
1031;19730,82
1032;6032,35
1033;11872,45
1034;3393,2
1035;231742,86
1036;59785,64
1037;124919,96
1038;10797,91
1039;41158,24
1040;39964,33
1041;22495,65
1042;184740,78
1043;15206,55
1044;65350,48
1045;237398,19
1046;20484,86
1047;34706,01
1048;20861,88
1049;43483,2
1050;13572,79
1051;23878,06
1052;156087,11
1053;240540,04
1054;24380,76
1055;55867,12
1056;182698,07
1057;31976,87
1058;98654,09
1059;30902,61
1060;7917,46
1061;97523,02
1062;20861,88
1063;7289,09
1064;49012,86
1065;107331,88
1066;12567,4
1067;98025,72
1068;13321,44
1069;30790,13
1070;223699,72
1071;312802,59
1072;19228,12
1073;103932,4
1074;339758,4
1075;9928,25
1076;71144,05
1077;25134,8
1078;8797,18
1079;23978,6
1080;100539,2
1081;5969,52
1082;167900,46
1083;161684,63
1084;22244,3
1085;33177,94
1086;18010,32
1087;80180,01
1088;46876,4
1089;138492,75
1090;97648,7
1091;7897,35
1092;38079,22
1093;63088,35
1094;13824,14
1095;41346,75
1096;94185,75
1097;9551,22
1098;8860,02
1099;24317,92
1100;4021,57
1101;246823,74
1102;43483,2
1103;33052,26
1104;156593,31
1105;61328,91
1106;502696,0
1107;7163,42
1108;9865,41
1109;23501,04
1110;122657,82
1111;16337,62
1112;379409,81
1113;250468,28
1114;110970,14
1115;14075,49
1116;11499,17
1117;191024,48
1118;96637,02
1119;68995,03
1120;91993,37
1121;256370,74
1122;100539,2
1123;20987,56
1124;17468,69
1125;81059,73
1126;29156,37
1127;10305,27
1128;96768,98
1129;17468,69
1130;21917,55
1131;293825,81
1132;351585,58
1133;80905,15
1134;125674,0
1135;13572,79
1136;25763,17
1137;27396,93
1138;75278,73
1139;132963,09
1140;8231,65
1141;9488,39
1142;6660,72
1143;66267,9
1144;19605,14
1145;10493,78
1146;178815,29
1147;104183,75
1148;62657,29
1149;38833,27
1150;375513,91
1151;18348,4
1152;58061,39
1153;58061,39
1154;31544,17
1155;33660,52
1156;74718,22
1157;114436,86
1158;7405,97
1159;26391,54
1160;101481,76
1161;101481,76
1162;83975,35
1163;125674,0
1164;24506,43
1165;65350,48
1166;62390,57
1167;125674,0
1168;391223,16
1169;184156,36
1170;137990,05
1171;23249,69
1172;73833,48
1173;73833,48
1174;85923,14
1175;12190,38
1176;50646,62
1177;90861,05
1178;125674,0
1179;39587,31
1180;9551,22
1181;63214,02
1182;53788,47
1183;103052,68
1184;49691,5
1185;53070,36
1186;53034,43
1187;27396,93
1188;502696,0
1189;389589,4
1190;63775,48
1191;34717,44
1192;86966,41
1193;13447,12
1194;18474,08
1195;416910,93
1196;98025,72
1197;53413,96
1198;32046,87
1199;15457,9
1200;55296,56
1201;122406,48
1202;25637,5
1203;25386,15
1204;319086,29
1205;85621,7
1206;69083,0
1207;110216,1
1208;13949,81
1209;81688,1
1210;58752,6
1211;27019,91
1212;115620,08
1213;44802,78
1214;22872,67
1215;15834,92
1216;58438,41
1217;91742,02
1218;24255,08
1219;78639,25
1220;144182,54
1221;51115,07
1222;71131,48
1223;77666,53
1224;27396,93
1225;25888,84
1226;68240,98
1227;9928,25
1228;89605,56
1229;159211,87
1230;39802,97
1231;68743,68
1232;22621,32
1233;58941,11
1234;76661,14
1235;169282,88
1236;19982,17
1237;94390,99
1238;46939,24
1239;120144,34
1240;43775,4
1241;34459,81
1242;377,02
1243;502696,0
1244;85458,32
1245;26643,14
1246;177357,43
1247;354163,16
1248;171922,03
1249;52952,74
1250;66984,24
1251;24380,76
1252;31732,69
1253;49723,86
1254;30161,76
1255;502696,0
1256;278240,98
1257;9048,53
1258;6032,35
1259;188511,0
1260;34836,83
1261;19730,82
1262;71508,51
1263;28276,65
1264;39398,8
1265;26997,82
1266;14269,03
1267;46625,05
1268;323233,53
1269;253790,54
1270;47881,79
1271;302622,99
1272;273749,77
1273;32172,54
1274;36068,44
1275;68492,33
1276;131957,7
1277;22998,34
1278;7917,46
1279;239730,77
1280;242131,07
1281;78008,37
1282;71508,51
1283;124668,61
1284;124668,61
1285;96517,63
1286;12190,38
1287;29533,39
1288;21113,23
1289;27962,47
1290;9928,25
1291;7289,09
1292;165009,96
1293;220809,22
1294;280378,69
1295;22528,95
1296;29030,69
1297;80557,03
1298;257000,82
1299;290540,69
1300;276293,38
1301;18725,43
1302;94381,17
1303;18976,77
1304;190270,44
1305;40844,05
1306;86178,43
1307;473076,47
1308;12316,05
1309;8797,18
1310;345100,8
1311;46248,03
1312;342222,66
1313;202209,47
1314;383314,26
1315;44237,25
1316;12645,49
1317;33177,94
1318;15868,23
1319;13321,44
1320;225459,16
1321;37953,55
1322;168026,14
1323;33052,26
1324;47002,08
1325;39084,61
1326;15960,6
1327;38953,15
1328;24920,65
1329;20170,68
1330;213457,29
1331;77792,21
1332;373176,38
1333;97146,0
1334;31292,83
1335;64219,41
1336;476807,16
1337;31042,11
1338;13070,1
1339;30161,76
1340;50269,6
1341;10682,29
1342;59695,15
1343;22872,67
1344;35691,42
1345;343718,39
1346;117970,18
1347;50018,25
1348;94255,5
1349;192029,87
1350;54039,82
1351;8797,18
1352;33906,85
1353;13070,1
1354;30287,43
1355;190660,03
1356;19982,17
1357;11813,36
1358;17845,71
1359;26466,94
1360;84318,46
1361;26517,21
1362;65099,13
1363;22998,34
1364;62900,47
1365;79048,95
1366;31869,48
1367;102298,64
1368;30790,13
1369;226441,12
1370;10054,82
1371;36099,04
1372;91152,12
1373;132837,42
1374;100287,85
1375;118435,63
1376;41091,31
1377;95386,57
1378;29030,69
1379;64572,22
1380;66355,87
1381;37073,83
1382;7791,79
1383;37325,18
1384;15960,6
1385;79802,99
